ML,CHIP,ESM,HSPC,CHOL,PEG,AQUEOUS,TFR,FRR,SIZE,PDI
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,4.4,125.303,0.065
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.25,3.0,183.962,0.16
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,3.0,155.385,0.054
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,1.0,232.108,0.322
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,5.0,125.924,0.058
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,169.717,0.119
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,164.343,0.091
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,162.206,0.121
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,160.342,0.095
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,158.912,0.087
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,1.6,189.764,0.195
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,1.6,229.416,0.244
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,4.4,140.386,0.047
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,4.4,117.314,0.046
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.25,3.0,167.216,0.071
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,3.0,137.968,0.05
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,1.0,240.863,0.252
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,5.0,115.891,0.07
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,139.586,0.08
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,141.538,0.064
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,139.883,0.062
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,139.657,0.065
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,146.755,0.081
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,1.6,220.699,0.271
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,1.6,303.927,0.274
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.58,4.4,159.526,0.071
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.17,4.4,125.978,0.027
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,0.25,3.0,191.239,0.132
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,2.5,3.0,158.28,0.059
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,1.0,236.083,0.26
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,5.0,130.988,0.044
ESM,Micromixer,24.779,0.0,10.121,0.0,MQ,1.375,3.0,160.969,0.082
