ESM,HSPC,CHOL,PEG,TFR,FRR,AQUEOUS,SIZE,PDI
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,118.758,0.04
0.0,9.576,3.192,3.192,1.375,1.0,MQ,158.663,0.4
24.779,0.0,10.121,0.0,2.5,5.0,MQ,109.23,0.05
24.779,0.0,10.121,0.0,2.5,3.0,MQ,155.385,0.054
0.0,9.576,3.192,3.192,1.375,1.0,MQ,158.663,0.4
24.779,0.0,10.121,0.0,1.375,3.0,MQ,158.912,0.087
0.0,20.91532130137204,5.15895461011433,12.8,2.5,8.0,PBS,122.1,0.351
0.0,9.576,3.192,3.192,1.375,3.0,MQ,77.339,0.229
24.779,0.0,10.121,0.0,1.375,3.0,MQ,160.342,0.095
0.0,10.056,3.3520000000000003,3.3520000000000003,1.37,7.0,MQ,68.133,0.235
24.779,0.0,10.121,0.0,1.375,3.0,MQ,160.969,0.082
0.0,7.542000000000001,6.704000000000001,2.514,2.5,1.0,MQ,90.31,0.13
0.0,9.576,3.192,3.192,1.375,1.0,MQ,158.663,0.4
24.779,0.0,10.121,0.0,2.17,4.4,MQ,125.978,0.027
12.026982212493198,0.0,7.973017787506802,0.0,2.0439290021890306,1.8107928849972788,MQ,118.758,0.04
